set,language,singer,title,url,views,likes,comments,bonafide_or_spoof
2,1,7,1030,1203,4068597,12778,290,0
2,1,7,1035,1275,10196529,67384,3514,0
2,1,7,1033,1089,3670198,19773,836,0
2,1,7,1031,1147,113228,1544,77,0
2,1,7,1029,1228,563542,6436,120,0
2,1,7,1026,1241,3754154,25992,536,0
2,1,7,1034,1096,9314309,24748,787,0
2,1,7,1036,1086,2745801,14116,412,0
2,2,7,1027,1090,1098495,13395,844,0
2,1,7,1028,1254,915505,8383,490,0
2,6,7,601,405,1283,20,3,1
2,1,7,597,393,7820,149,48,1
2,1,7,600,607,5135,135,16,1
2,1,7,604,851,2281,31,8,1
2,1,7,595,819,1562,14,6,1
2,1,7,596,511,13834,220,50,1
2,1,7,602,130,13964,348,42,1
2,1,7,606,676,1988,23,5,1
2,1,7,603,410,6316,163,23,1
2,1,7,599,284,2016,25,7,1
2,1,7,598,645,23334,334,105,1
2,1,7,594,867,2012,36,9,1
2,1,7,605,973,2800,74,5,1
2,6,8,763,1115,2288186,13706,583,0
2,6,8,925,1268,70156192,129324,5565,0
2,6,8,895,1212,2525924,8417,808,0
2,6,8,924,1124,39842609,116582,9512,0
2,6,8,901,1131,3024092,9317,1177,0
2,6,8,930,1142,34418322,89122,4391,0
2,6,8,945,1148,23175003,56443,257,0
2,6,8,903,1166,31187572,72568,2785,0
2,6,8,933,1109,2612979,12886,659,0
2,6,8,911,1251,11966395,32748,1504,0
2,6,8,764,1127,1640272,9384,718,0
2,6,8,915,1036,29587027,334055,25297,0
2,6,8,939,1108,33019147,57001,2791,0
2,6,8,894,1133,6498840,24970,1279,0
2,6,8,898,1051,83586847,176054,10968,0
2,6,8,942,1189,50751197,115319,5326,0
2,6,8,919,1075,22464392,60737,3803,0
2,6,8,917,1247,65583043,101249,6625,0
2,6,8,935,1225,65322820,123578,4786,0
2,6,8,926,1232,6686776,28868,1422,0
2,6,8,937,1071,21364927,153722,10684,0
2,6,8,884,1184,8064608,56539,3492,0
2,6,8,885,1194,264746961,554940,26475,0
2,6,8,893,1114,6766251,29466,2399,0
2,6,8,914,1079,13375051,34113,2440,0
2,6,8,920,1119,18217852,35664,1907,0
2,6,8,931,1161,22370391,43658,1712,0
2,6,8,886,1135,9452009,37149,2044,0
2,6,8,909,1172,65884040,111585,4938,0
2,6,8,431,411,71289,770,103,0
2,6,8,913,1087,79751813,156218,8648,0
2,6,8,916,1042,36864083,79438,3295,0
2,6,8,891,1183,7372223,23080,2496,0
2,6,8,900,1258,5963413,21510,1106,0
2,6,8,934,1120,55342550,91856,3432,0
2,6,8,248,1205,7974057,35396,2518,0
2,6,8,938,1066,12238059,88493,4875,0
2,6,8,883,1068,20756870,100051,6855,0
2,6,8,936,1031,23511688,53702,3777,0
2,6,8,929,1242,13057202,46892,2407,0
2,6,8,906,1155,20884486,116897,5643,0
2,6,8,899,1206,5393681,22294,1145,0
2,6,8,896,1128,18624357,44907,3300,0
2,6,8,940,1267,31038885,120594,7938,0
2,6,8,922,1222,145509014,403741,23011,0
2,6,8,888,1122,90714323,143589,7663,0
2,6,8,887,1030,42771613,292000,20964,0
2,6,8,910,1156,99997624,201047,15569,0
2,6,8,897,1113,12663730,37302,2525,0
2,6,8,905,1050,22098791,60364,5037,0
2,6,8,889,1076,9887887,40891,2037,0
2,6,8,927,1181,52906013,152040,8168,0
2,6,8,918,1121,7256658,27676,2060,0
2,6,8,928,1277,101580465,192669,9891,0
2,6,8,923,1099,11454171,79037,3282,0
2,6,8,904,1271,9954723,21514,969,0
2,6,8,890,1072,66950728,125793,7096,0
2,6,8,944,1192,19627836,42400,2052,0
2,6,8,941,1175,60275786,182992,8255,0
2,6,8,892,1259,45194093,96833,4434,0
2,6,8,907,1054,12108043,40369,1699,0
2,6,8,932,1249,20414272,76171,4247,0
2,6,8,943,1266,11428160,31044,1793,0
2,6,8,921,1250,55023488,140921,6759,0
2,6,8,912,1230,9440596,28040,1532,0
2,6,8,908,1153,63472650,140009,6396,0
2,6,8,902,1037,51525333,84486,3258,0
2,6,8,440,530,17587,160,36,1
2,6,8,661,1237,3419,24,10,1
2,6,8,433,185,12573,129,19,1
2,6,8,439,811,69132,603,108,1
2,6,8,437,295,15200,273,83,1
2,6,8,535,280,10272,201,28,1
2,6,8,432,118,2106,49,8,1
2,6,8,441,72,858671,12290,1034,1
2,6,8,443,696,107487,1839,173,1
2,6,8,538,656,44573,775,98,1
2,1,8,536,392,7279,78,11,1
2,6,8,435,873,16142,184,47,1
2,5,8,438,456,172203,3853,182,1
2,6,8,434,846,21758,174,33,1
2,6,8,442,460,31879,326,46,1
2,6,8,529,837,20017,278,104,1
2,6,8,534,2,69324,1493,164,1
2,6,8,444,481,29028,612,69,1
2,6,8,448,942,24478,793,126,1
2,6,8,446,426,23569,601,115,1
2,6,8,436,455,22828,245,41,1
2,5,8,537,132,2273,63,9,1
2,6,8,41,231,368785,6531,431,1
2,6,8,440,530,17587,160,36,1
2,6,8,445,886,6359,31,8,1
2,6,8,449,878,59495,1448,133,1
2,6,8,447,380,66988,808,49,1
2,1,9,1007,1136,5250284,15143,559,0
2,1,9,833,1069,33892,93,1,0
2,6,9,1003,1146,89179,938,64,0
2,1,9,1252,1126,4453516,9607,29,0
2,6,9,1016,1112,12280450,32893,74,0
2,1,9,998,1240,6036369,15897,742,0
2,1,9,993,1186,518598,1628,66,0
2,1,9,1001,1144,798015,3369,209,0
2,1,9,995,1130,3538808,16789,1161,0
2,1,9,989,1118,460587,1102,47,0
2,1,9,997,1029,3471951,8292,381,0
2,1,9,996,1061,1370828,2315,93,0
2,1,9,1002,1040,2601852,5063,238,0
2,1,9,1005,1223,7909461,16292,336,0
2,1,9,992,1034,346994,1576,125,0
2,1,9,991,1246,2965834,7227,263,0
2,6,9,999,1078,2549645,12685,570,0
2,1,9,994,1047,5071072,8360,294,0
2,1,9,1004,1187,2998410,8444,238,0
2,6,9,1000,1273,728451,4843,146,0
2,1,9,990,1093,3610404,8271,205,0
2,6,9,1006,1064,865000,6828,258,0
2,1,9,581,565,17851,686,173,1
2,1,9,585,478,55905,1502,199,1
2,1,9,579,224,2041,28,15,1
2,1,9,582,1011,13809,442,137,1
2,1,9,583,609,5999,71,15,1
2,1,9,578,353,1150,24,3,1
2,1,9,577,207,1395,19,9,1
2,1,9,1277,1010,3852,65,20,1
2,1,9,586,454,19357,680,119,1
2,1,9,587,34,3835,56,35,1
2,1,9,580,940,14732,107,33,1
2,1,9,588,458,28712,943,182,1
2,1,9,584,709,98067,2615,400,1
2,5,10,1211,48,79299,1223,36,0
2,5,10,325,49,79299,1223,36,0
2,5,10,1273,43,79299,1223,36,0
2,5,10,1217,51,79299,1223,36,0
2,5,10,270,41,79299,1223,36,0
2,5,10,832,40,79299,1223,36,0
2,5,10,271,44,79299,1223,36,0
2,5,10,831,42,79299,1223,36,0
2,5,10,250,45,79299,1223,36,0
2,5,10,1174,50,79299,1223,36,0
2,5,10,830,52,79299,1223,36,0
2,5,10,1089,47,79299,1223,36,0
2,5,10,251,46,79299,1223,36,0
2,5,10,806,39,79299,1223,36,0
2,6,13,1148,988,863954,8058,205,0
2,6,13,1150,989,863954,8058,205,0
2,6,13,25,19,938489,7578,222,0
2,6,13,20,18,938489,7578,222,0
2,6,13,29,5,938489,7578,222,0
2,6,13,1154,995,863954,8058,205,0
2,6,13,1158,902,94403,2412,85,0
2,6,13,1155,991,863954,8058,205,0
2,6,13,31,7,938489,7578,222,0
2,6,13,1152,994,863954,8058,205,0
2,6,13,1046,82,19717,227,16,0
2,6,13,1175,83,19717,227,16,0
2,6,13,33,10,938489,7578,222,0
2,6,13,34,11,938489,7578,222,0
2,6,13,27,9,938489,7578,222,0
2,6,13,16,15,938489,7578,222,0
2,6,13,30,6,938489,7578,222,0
2,6,13,1153,993,863954,8058,205,0
2,6,13,8,13,938489,7578,222,0
2,6,13,28,4,938489,7578,222,0
2,6,13,26,20,938489,7578,222,0
2,6,13,32,8,938489,7578,222,0
2,6,13,15,14,938489,7578,222,0
2,6,13,19,17,938489,7578,222,0
2,6,13,18,16,938489,7578,222,0
2,6,13,809,23,2345185,42236,1453,0
2,6,13,1156,992,863954,8058,205,0
2,6,13,1149,990,863954,8058,205,0
2,6,13,35,12,938489,7578,222,0
2,6,13,1157,595,568611,10538,456,0
2,6,13,1151,987,863954,8058,205,0
2,6,13,808,3,938489,7578,222,0
2,6,13,713,111,5535,62,11,1
2,6,13,753,444,19527,261,70,1
2,2,13,696,664,667,4,2,1
2,6,13,706,852,940,17,4,1
2,6,13,716,170,3488,66,15,1
2,6,13,695,136,1198,24,10,1
2,6,13,719,782,2796,55,8,1
2,6,13,643,864,1704,14,16,1
2,5,13,697,683,708,21,6,1
2,6,13,704,571,3537,56,7,1
2,6,13,712,968,2866,34,16,1
2,6,13,705,842,882,18,3,1
2,6,13,721,930,959,16,3,1
2,5,13,709,119,4127,207,35,1
2,6,13,722,858,14065,704,81,1
2,5,13,698,885,676,16,9,1
2,6,13,694,142,959,30,7,1
2,6,13,703,915,536,12,4,1
2,6,13,723,384,806,23,7,1
2,6,13,724,951,1279,15,9,1
2,6,13,720,161,7521,179,49,1
2,6,13,715,163,2109,45,9,1
2,1,13,717,956,639,9,7,1
2,6,13,699,884,3044,32,31,1
2,6,13,700,413,2607,36,8,1
2,6,13,702,123,968,10,5,1
2,6,13,701,445,2230,23,19,1
2,6,13,708,955,639,9,7,1
2,6,13,718,487,2057,44,5,1
2,6,13,710,1025,881,6,6,1
2,6,13,714,160,13463,157,54,1
2,6,13,707,222,740,7,1,1
2,6,13,711,537,487,15,2,1
2,6,14,261,1044,120276915,221530,10574,0
2,6,14,1093,772,56464,579,28,0
2,6,14,1228,753,56464,579,28,0
2,6,14,253,1106,27734480,83281,2970,0
2,6,14,850,717,56464,579,28,0
2,6,14,1047,720,56464,579,28,0
2,6,14,952,723,56464,579,28,0
2,6,14,871,744,56464,579,28,0
2,6,14,254,1060,43630166,120521,3720,0
2,6,14,1,372,39058,305,14,0
2,6,14,957,721,56464,579,28,0
2,6,14,1053,741,56464,579,28,0
2,6,14,1223,765,56464,579,28,0
2,6,14,1232,767,56464,579,28,0
2,6,14,1210,769,56464,579,28,0
2,6,14,257,1063,44195507,113584,3039,0
2,6,14,255,1239,138868560,252134,10767,0
2,6,14,1163,729,56464,579,28,0
2,6,14,1017,770,56464,579,28,0
2,6,14,1160,733,56464,579,28,0
2,6,14,853,748,56464,579,28,0
2,6,14,842,776,56464,579,28,0
2,6,14,964,757,56464,579,28,0
2,6,14,947,771,56464,579,28,0
2,6,14,1087,775,56464,579,28,0
2,6,14,951,735,56464,579,28,0
2,6,14,1276,728,56464,579,28,0
2,6,14,258,1084,51062149,178763,14385,0
2,6,14,2,359,39058,305,14,0
2,6,14,3,360,39058,305,14,0
2,6,14,1209,743,56464,579,28,0
2,6,14,1212,725,56464,579,28,0
2,6,14,1019,722,56464,579,28,0
2,6,14,1222,755,56464,579,28,0
2,6,14,1267,764,56464,579,28,0
2,6,14,1055,718,56464,579,28,0
2,6,14,260,1039,30035854,41587,1207,0
2,6,14,961,730,56464,579,28,0
2,6,14,1063,762,56464,579,28,0
2,6,14,857,774,56464,579,28,0
2,6,14,846,751,56464,579,28,0
2,6,14,1090,750,56464,579,28,0
2,6,14,256,1272,46636045,136446,5663,0
2,6,14,1044,752,56464,579,28,0
2,6,14,1240,759,56464,579,28,0
2,6,14,1010,727,56464,579,28,0
2,6,14,1011,747,56464,579,28,0
2,6,14,1085,738,56464,579,28,0
2,6,14,1061,756,56464,579,28,0
2,6,14,835,763,56464,579,28,0
2,6,14,849,719,56464,579,28,0
2,6,14,259,1202,44803436,113285,3494,0
2,6,14,262,1149,44845261,112283,4765,0
2,6,14,1091,736,56464,579,28,0
2,6,14,1173,766,56464,579,28,0
2,6,14,252,1244,58611359,227781,14031,0
2,6,14,867,773,56464,579,28,0
2,6,14,1147,716,56464,579,28,0
2,6,14,862,758,56464,579,28,0
2,6,14,861,724,56464,579,28,0
2,6,14,1159,740,56464,579,28,0
2,6,14,1225,737,56464,579,28,0
2,6,14,847,739,56464,579,28,0
2,6,14,1268,749,56464,579,28,0
2,6,14,1274,768,56464,579,28,0
2,6,14,870,746,56464,579,28,0
2,6,14,1088,732,56464,579,28,0
2,6,14,323,715,56464,579,28,0
2,6,14,1185,777,56464,579,28,0
2,6,14,848,754,56464,579,28,0
2,6,14,948,731,56464,579,28,0
2,6,14,1216,726,56464,579,28,0
2,6,14,1231,742,56464,579,28,0
2,6,14,1226,734,56464,579,28,0
2,6,14,1247,745,56464,579,28,0
2,6,14,845,760,56464,579,28,0
2,6,14,1095,761,56464,579,28,0
2,6,14,725,55,32575,695,142,1
2,5,14,148,116,7416,109,39,1
2,6,14,187,169,1290,21,6,1
2,6,14,171,203,2588,61,9,1
2,6,14,179,693,794,9,2,1
2,6,14,191,134,2716,50,8,1
2,6,14,210,625,1711,38,9,1
2,6,14,176,379,926,18,6,1
2,6,14,199,822,872,5,2,1
2,4,14,146,59,492,9,7,1
2,5,14,163,197,798,10,5,1
2,6,14,195,705,631,9,6,1
2,6,14,372,561,39603,1782,200,1
2,6,14,202,229,959,10,6,1
2,6,14,194,174,1454,33,4,1
2,5,14,147,938,957,23,7,1
2,2,14,185,490,1104,16,6,1
2,4,14,220,937,780,11,3,1
2,6,14,208,408,2504,35,21,1
2,6,14,178,26,1233,18,3,1
2,5,14,197,397,475,5,2,1
2,6,14,175,60,8441,134,42,1
2,2,14,150,451,803,17,4,1
2,6,14,167,868,6822,97,27,1
2,6,14,196,909,2743,72,20,1
2,6,14,161,443,1739,55,8,1
2,6,14,200,121,1566,25,2,1
2,6,14,221,665,11822,234,39,1
2,6,14,164,965,11952,228,70,1
2,6,14,211,93,1068,18,5,1
2,6,14,158,399,5128,86,19,1
2,6,14,203,810,543,7,5,1
2,6,14,205,698,1126,11,3,1
2,1,14,189,661,989,14,10,1
2,6,14,169,29,2132,35,8,1
2,5,14,219,890,2118,34,9,1
2,6,14,192,419,1390,22,9,1
2,6,14,218,694,1049,14,6,1
2,6,14,190,176,934,12,5,1
2,6,14,183,1008,1822,18,13,1
2,6,14,214,959,1419,26,5,1
2,2,14,149,708,763,12,7,1
2,6,14,180,636,1133,18,10,1
2,6,14,217,948,1203,24,7,1
2,6,14,207,107,1907,36,5,1
2,6,14,188,655,2560,35,8,1
2,6,14,215,128,1172,28,4,1
2,5,14,186,240,1872,31,12,1
2,5,14,213,209,2465,95,18,1
2,6,14,177,704,2431,43,6,1
2,6,14,206,448,775,13,1,1
2,6,14,155,508,2748,54,7,1
2,6,14,162,934,1550,21,8,1
2,5,14,204,499,1895,57,12,1
2,6,14,193,854,1406,18,7,1
2,5,14,174,829,35129,924,191,1
2,6,14,212,462,1034,19,4,1
2,5,14,152,982,2023,86,10,1
2,6,14,168,471,1148,23,4,1
2,6,14,173,526,891,17,21,1
2,6,14,160,68,1219,20,0,1
2,5,14,209,620,472,7,1,1
2,6,14,198,404,1228,20,4,1
2,5,14,153,662,1018,10,7,1
2,6,14,157,861,6512,53,23,1
2,6,14,166,144,1071,9,12,1
2,6,14,172,437,1359,21,2,1
2,5,14,154,94,1024,14,3,1
2,5,14,151,475,803,7,5,1
2,6,14,216,502,6611,120,34,1
2,6,14,159,206,1145,12,2,1
2,2,14,165,436,19133,773,79,1
2,6,14,184,947,11130,241,43,1
2,6,14,201,421,592,8,0,1
2,6,14,156,577,853,5,3,1
2,6,14,170,103,1262,25,8,1
2,6,14,182,110,988,4,5,1
2,6,14,181,936,2327,43,23,1
2,6,14,382,824,4222,123,29,1
2,6,16,758,1014,249402,10324,423,0
2,6,16,274,1253,467014,4449,308,0
2,6,16,1164,1210,10243,243,23,0
2,6,16,760,1056,1175134,5886,463,0
2,6,16,759,122,1030419,32817,940,0
2,6,16,864,1157,16499447,55628,2439,0
2,6,16,1162,1208,141253,982,90,0
2,6,16,762,1104,1157504,6590,1181,0
2,6,16,757,689,9970321,276558,3634,0
2,6,16,822,1101,3387326,19833,1192,0
2,6,16,819,1151,16363075,64896,2004,0
2,6,16,820,1055,7597526,28449,3435,0
2,6,16,756,386,163686,7554,330,0
2,6,16,272,1097,4879358,38355,1328,0
2,6,16,755,37,203507,8359,1066,0
2,6,16,761,1263,3224631,19231,1141,0
2,6,16,273,1088,3882114,31310,1055,0
2,2,16,532,387,3785,98,21,1
2,2,16,531,622,7638,121,22,1
2,6,16,336,860,12797,236,53,1
2,6,16,533,73,1234,19,10,1
2,1,16,530,598,1867,30,5,1
2,6,17,1242,335,3335891,28129,1038,0
2,6,17,1014,308,3335891,28129,1038,0
2,6,17,1165,310,3335891,28129,1038,0
2,6,17,953,324,3335891,28129,1038,0
2,6,17,863,342,3335891,28129,1038,0
2,6,17,406,504,1240638,20307,911,0
2,6,17,1050,306,3335891,28129,1038,0
2,6,17,1086,333,3335891,28129,1038,0
2,6,17,1266,325,3335891,28129,1038,0
2,6,17,1125,326,3335891,28129,1038,0
2,6,17,1057,305,3335891,28129,1038,0
2,6,17,983,313,3335891,28129,1038,0
2,2,17,245,316,3335894,28129,1038,0
2,6,17,949,311,3335894,28129,1038,0
2,6,17,1220,332,3335894,28129,1038,0
2,6,17,976,514,160477,2867,218,0
2,6,17,1146,352,3335894,28129,1038,0
2,6,17,838,344,3335894,28129,1038,0
2,6,17,1251,348,3335894,28129,1038,0
2,6,17,1234,307,3335894,28129,1038,0
2,6,17,982,409,295404,5479,302,0
2,6,17,1227,304,3335894,28129,1038,0
2,6,17,1167,339,3335894,28129,1038,0
2,6,17,856,300,3335894,28129,1038,0
2,6,17,1278,670,71689,1169,80,0
2,6,17,955,301,3335894,28129,1038,0
2,6,17,978,847,66250,987,79,0
2,6,17,973,869,449235,6125,135,0
2,6,17,988,337,3335894,28129,1038,0
2,6,17,1271,317,3335894,28129,1038,0
2,6,17,1250,320,3335894,28129,1038,0
2,6,17,968,863,118236,1615,145,0
2,6,17,972,535,89118,1260,99,0
2,6,17,1067,327,3335897,28129,1038,0
2,6,17,1245,321,3335897,28129,1038,0
2,6,17,970,383,6388,152,30,0
2,6,17,1168,323,3335897,28129,1038,0
2,6,17,1056,346,3335897,28129,1038,0
2,6,17,1177,334,3335897,28129,1038,0
2,6,17,866,329,3335897,28129,1038,0
2,6,17,966,390,89192,1778,181,0
2,6,17,946,322,3335897,28129,1038,0
2,6,17,246,312,3335897,28129,1038,0
2,4,17,1043,349,3335897,28129,1038,0
2,6,17,969,666,5579,137,16,0
2,6,17,1020,350,3335897,28129,1038,0
2,6,17,834,343,3335897,28129,1038,0
2,6,17,975,1006,33253,485,58,0
2,6,17,232,226,654,7,0,1
2,6,17,90,707,608,7,1,1
2,6,17,470,294,126226,2714,167,1
2,6,17,878,1027,9285,117,10,1
2,6,17,80,112,629,5,3,1
2,6,17,96,835,699,5,1,1
2,6,17,224,687,1150,20,4,1
2,6,17,460,815,15240,135,16,1
2,6,17,222,67,4644,63,4,1
2,5,17,553,164,2138,17,5,1
2,6,17,46,282,14859,57,7,1
2,6,17,1235,100,1198,19,4,1
2,6,17,1236,964,693,12,0,1
2,6,17,349,56,104268,2085,132,1
2,6,17,346,910,308314,11799,730,1
2,6,17,114,623,260,2,1,1
2,6,17,875,668,33370,867,75,1
2,6,17,565,962,12675,211,38,1
2,6,17,57,592,18348,194,17,1
2,6,17,882,969,26898,635,24,1
2,6,17,459,953,100922,1713,136,1
2,6,17,77,242,368608,9812,366,1
2,6,17,555,141,11759,75,9,1
2,1,17,557,506,6210,39,4,1
2,6,17,223,241,469,9,0,1
2,6,17,363,919,18026,140,19,1
2,6,17,364,926,27933,200,23,1
2,6,17,225,971,501,16,3,1
2,6,17,297,695,1353171,55092,450,1
2,6,17,452,227,156312,2711,143,1
2,6,17,54,389,6935,30,4,1
2,6,17,79,133,10561,74,5,1
2,2,17,49,652,388,1,1,1
2,6,17,467,998,83780,809,96,1
2,6,17,548,1013,6292,75,9,1
2,6,17,872,1012,122051,4527,140,1
2,6,17,357,954,77046,1353,64,1
2,6,17,457,394,84258,858,54,1
2,6,17,89,876,7062,61,5,1
2,6,17,56,780,18081,99,11,1
2,6,17,109,596,2602,25,4,1
2,6,17,66,853,798,25,1,1
2,6,17,55,606,12441,66,5,1
2,2,17,59,235,7722,87,8,1
2,6,17,549,568,47408,1441,196,1
2,6,17,463,159,1432658,33033,1425,1
2,6,17,129,880,1168,20,3,1
2,8,17,663,1226,6913,90,24,1
2,6,17,351,830,253211,6278,327,1
2,6,17,873,539,6771,67,4,1
2,6,17,570,675,2314,13,4,1
2,6,17,466,527,102409,1023,115,1
2,6,17,51,580,561849,11112,486,1
2,6,17,130,562,1155,28,4,1
2,8,17,73,1015,42470,983,72,1
2,6,17,69,166,76663,1572,56,1
2,6,17,50,482,7899,80,4,1
2,6,17,60,889,509,8,1,1
2,6,17,568,927,13948,250,15,1
2,1,17,559,970,7299,67,9,1
2,6,17,337,114,58588,840,98,1
2,6,17,76,569,11617,45,6,1
2,2,17,87,515,916,9,0,1
2,6,17,344,401,28584,141,15,1
2,6,17,478,692,43195,1179,105,1
2,6,17,476,108,321147,7996,412,1
2,6,17,874,939,6312,34,5,1
2,6,17,343,701,290696,8786,434,1
2,6,17,68,33,59510,1254,67,1
2,6,17,365,578,45059,431,43,1
2,6,17,229,497,1106,23,3,1
2,6,17,678,1159,31708,238,110,1
2,6,17,91,648,9898,18,4,1
2,6,17,78,660,14385,114,11,1
2,1,17,571,211,12983,209,27,1
2,6,17,560,1185,8420,37,29,1
2,6,17,334,431,60,4,1,1
